1,0,2,0
1,1,2,0
1,3,1,0
2,6,1,1
1,5,0,2
2,6,0,3
2,6,0,5
2,4,1,4
3,2,1,4
3,2,1,3
4,2,1,3
6,2,0,4
7,2,0,5
8,2,1,10
8,8,2,9
10,14,2,13
10,12,1,12
12,13,1,15
10,11,0,17
12,11,0,23
12,13,2,23
12,8,5,20
12,12,7,18
12,10,6,19
12,12,11,13
12,13,11,10
11,9,11,13
12,9,8,15
13,11,9,18
15,12,10,23
16,13,17,32
16,20,15,20
19,18,17,17
18,21,16,16
18,13,15,12
20,15,16,18
18,18,20,18
17,17,19,15
16,20,17,13
16,16,15,15
14,14,10,12
16,15,11,16
16,13,14,19
18,20,16,16
18,20,11,22
16,20,16,14
16,20,18,11
16,18,18,17
15,12,19,13
15,12,19,6
16,16,22,7
16,14,25,9
19,19,25,10
19,17,27,8
19,19,22,11
17,18,21,4
16,23,19,5
16,17,17,9
18,21,17,5
18,14,19,7
19,17,20,9
19,17,15,15
20,20,15,21
18,21,17,22
18,23,21,18
18,24,21,15
19,23,20,13
18,25,17,18
18,22,20,21
18,30,20,22
17,20,16,25
17,18,15,23
19,23,17,16
18,18,22,16
17,10,20,19
17,11,21,15
17,8,15,15
17,13,16,20
16,9,12,21
19,9,18,25
20,15,19,28
19,13,16,28
17,16,13,13
20,21,14,13
18,18,14,13
18,14,12,15
18,13,10,20
18,15,11,15
17,11,15,22
19,14,20,20
19,14,17,21
20,18,20,17
20,19,19,19
20,21,20,16
18,17,17,15
19,22,21,19
18,19,19,20
17,20,14,20
18,16,12,29
16,15,11,23
16,11,12,26
18,17,14,24
16,12,18,20
15,14,10,21
16,15,16,24
18,16,23,26
15,14,14,13
17,15,16,13
16,11,14,16
17,8,20,20
18,15,17,25
19,16,21,21
17,13,19,17
17,12,20,17
16,13,18,18
16,13,20,18
18,18,19,22
20,19,16,24
20,18,19,23
20,23,25,18
18,14,15,22
17,18,19,16
17,15,18,17
18,17,28,16
18,21,16,18
18,13,16,21
17,13,14,14
17,19,18,19
16,15,20,18
18,25,25,19
18,24,17,21
18,18,13,16
18,17,15,15
17,19,12,11
17,22,10,14
19,27,15,13
18,20,13,14
19,20,18,16
19,23,13,21
20,25,22,23
20,21,20,24
20,24,23,24
19,22,24,18
19,22,14,24
20,12,20,19
19,14,23,16
20,19,22,18
20,13,22,18
19,11,23,18
17,9,12,10
17,7,14,17
16,9,15,12
15,9,12,15
16,10,15,11
18,18,18,10
20,23,20,16
19,22,19,13
17,17,18,10
17,23,19,10
17,18,18,8
16,15,12,14
19,17,20,16
19,16,21,21
19,13,20,17
18,21,19,13
18,27,17,14
18,23,17,12
18,24,18,14
19,24,18,14
19,18,10,20
19,17,17,27
15,18,9,23
15,16,10,17
15,24,13,8
15,23,15,7
16,13,20,10
15,11,20,10
15,13,17,14
16,16,13,14
14,14,9,17
17,17,9,22
18,17,18,20
19,18,19,23
17,18,15,20
18,18,17,20
17,24,12,18
18,26,11,18
18,22,12,18
18,17,17,23
19,15,21,18
20,19,24,12
17,15,18,9
16,18,20,3
16,21,13,7
16,25,20,7
18,27,19,14
16,22,17,12
17,18,20,17
17,18,22,22
17,18,27,20
18,22,23,20
18,19,18,18
17,19,18,19
17,14,19,22
17,18,16,17
20,23,18,17
17,21,18,12
18,19,24,17
20,15,21,23
20,25,19,16
17,14,19,9
16,18,19,13
18,22,27,12
20,26,21,14
19,28,20,17
19,18,15,16
22,27,13,17
21,19,16,25
19,20,17,21
19,18,18,14
18,15,22,12
16,20,20,14
18,18,13,19
18,19,12,22
18,11,16,25
19,14,18,23
19,20,19,16
20,24,17,19
18,18,22,18
18,20,17,12
19,28,25,17
18,26,20,15
18,25,23,21
18,20,18,16
19,16,27,18
17,12,18,12
19,13,19,8
19,17,17,15
19,15,19,20
20,15,23,22
21,16,30,24
19,20,22,20
19,17,14,22
20,14,12,22
18,18,10,17
17,24,12,15
16,25,7,24
17,23,9,18
16,18,11,16
16,15,10,15
17,17,10,15
18,20,18,21
19,19,19,16
17,18,16,18
18,20,20,21
18,18,25,21
18,14,23,27
17,22,21,17
19,26,21,14
21,23,26,18
19,18,20,21
18,14,22,20
19,21,18,17
18,27,18,28
16,18,14,18
18,21,21,20
18,16,19,18
17,15,22,15
20,17,24,25
19,21,20,19
