1,1,1,0
1,2,1,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,1,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,1,0
2,1,2,0
4,3,7,0
4,1,8,0
4,3,6,0
6,2,12,0
7,3,11,1
8,4,11,1
10,8,11,3
9,9,8,3
11,12,12,4
12,11,11,6
12,17,10,7
14,18,13,12
14,20,10,7
16,25,13,16
16,18,12,18
17,24,13,19
20,24,16,25
20,25,19,15
19,27,15,18
21,27,23,18
20,23,16,18
21,21,17,14
21,24,18,22
22,26,23,21
20,22,17,24
19,20,19,24
19,18,16,22
17,11,13,26
18,13,11,34
17,17,15,20
19,21,21,19
18,16,23,19
18,18,20,23
19,21,20,25
19,17,21,18
20,23,18,24
22,22,18,21
22,22,17,23
22,24,16,25
20,22,21,22
19,19,15,25
19,17,17,24
19,13,16,25
19,19,13,27
20,21,17,27
19,20,18,28
20,24,24,25
19,18,22,32
21,15,23,36
22,20,21,36
21,22,21,27
18,12,20,24
16,16,14,17
16,17,16,16
17,24,17,15
17,25,19,19
16,15,17,12
17,19,20,10
18,16,25,15
18,18,18,17
20,18,21,24
20,25,19,17
22,24,24,23
22,30,22,19
20,23,17,12
19,18,15,20
18,10,12,17
19,14,19,21
19,23,22,19
17,17,18,22
17,23,20,27
17,14,25,25
17,18,16,20
16,20,17,13
19,21,17,16
18,17,18,14
17,24,20,14
17,18,21,18
17,16,21,18
17,16,20,19
18,23,14,16
19,19,19,19
19,22,17,16
16,16,18,9
17,17,20,14
19,15,21,25
19,11,17,20
20,14,17,17
18,14,11,17
18,16,11,12
18,16,12,17
17,14,16,21
16,17,15,18
17,13,14,18
17,9,15,23
16,13,16,20
17,9,13,17
15,12,13,11
14,17,15,13
17,14,13,17
18,21,18,15
18,16,10,15
18,19,10,18
15,12,6,15
14,14,6,20
16,17,10,22
16,24,12,15
17,27,13,17
18,27,18,13
18,26,16,14
17,21,17,12
18,28,15,20
17,21,16,19
16,22,23,16
17,23,24,16
18,25,27,21
17,16,28,23
16,16,22,18
13,21,10,13
11,17,12,8
12,13,14,13
13,19,16,14
12,15,16,17
15,16,14,21
16,19,17,19
19,23,19,21
20,25,17,21
19,23,16,25
17,15,18,20
19,23,17,20
19,20,14,16
20,22,12,21
18,28,15,18
17,22,15,14
16,14,14,11
17,10,24,12
18,12,19,17
21,16,20,23
18,15,19,16
19,17,20,16
18,28,11,12
18,24,16,13
17,19,20,15
15,14,8,15
16,13,11,13
17,13,14,18
18,14,13,18
19,15,10,18
19,18,10,18
19,23,12,21
18,18,15,17
19,14,22,18
21,18,17,22
18,8,16,29
18,13,18,23
19,18,22,22
20,18,28,24
18,14,32,23
17,19,28,24
16,18,25,19
16,17,26,15
16,17,16,15
18,17,18,18
19,15,19,20
19,21,18,23
16,19,12,19
18,30,18,24
17,17,15,19
17,20,10,18
20,19,16,22
20,15,12,27
19,18,11,19
18,16,8,19
19,18,12,19
18,16,19,16
19,15,19,20
19,18,20,20
19,17,18,22
18,13,24,18
17,16,18,19
18,26,18,20
21,26,14,23
18,19,16,19
21,22,10,21
19,15,10,14
17,14,14,15
18,15,12,21
18,10,15,15
17,9,16,14
16,12,17,18
17,18,14,24
16,13,14,25
17,17,8,22
16,16,10,15
18,24,15,18
18,23,20,20
17,21,13,20
17,18,13,20
16,20,12,21
16,17,11,19
18,17,12,18
18,16,19,15
18,15,21,19
17,18,20,22
17,16,23,18
20,15,29,22
19,21,30,19
18,16,25,18
18,14,22,19
18,15,16,14
20,13,19,21
17,13,19,18
18,17,20,18
18,18,21,20
16,15,14,15
16,16,13,15
15,8,12,21
16,5,15,11
16,10,16,13
18,14,13,19
17,16,17,17
16,14,14,19
18,20,21,20
18,20,22,24
18,16,23,17
17,12,26,16
19,13,25,13
18,13,24,14
20,14,17,19
20,16,20,27
23,24,31,25
19,28,23,20
20,25,26,22
18,18,19,17
19,23,18,15
18,18,24,14
20,20,18,17
20,18,14,17
19,13,23,21
17,14,17,19
17,13,11,23
17,10,13,21
18,15,15,17
21,19,21,22
20,25,27,19
20,24,24,26
20,24,22,21
19,23,25,20
19,28,28,19
19,26,21,17
20,20,26,15
18,18,24,19
18,11,29,19
17,10,22,16
17,13,15,16
17,21,15,18
17,17,17,20
18,20,23,17
16,13,20,12
17,12,20,11
16,17,18,16
18,12,16,19
17,13,14,13
16,10,13,9
17,15,11,10
18,17,8,15
21,20,8,19
19,23,8,20
18,24,14,15
17,24,12,14
18,18,20,13
17,19,18,9
18,18,16,11
19,7,22,20
17,11,21,19
19,16,21,13
18,12,19,19
15,17,13,15
15,16,13,17
15,14,10,22
15,16,10,15
16,26,13,16
17,25,22,11
18,21,24,8
19,21,22,7
16,18,22,7
17,18,19,6
18,18,20,6
17,23,15,6
19,18,21,9
20,13,20,10
18,11,17,11
17,14,14,11
18,14,19,12
19,18,20,16
18,16,22,9
17,21,18,9
18,19,25,12
17,24,19,11
17,19,19,14
18,23,26,20
17,18,16,19
17,17,13,17
18,23,13,19
18,22,16,15
18,21,18,18
17,22,18,10
16,19,18,7
17,14,16,11
17,8,20,11
17,8,17,7
18,7,18,8
17,8,18,14
16,10,20,16
17,14,22,18
17,15,23,18
16,16,22,15
17,25,19,15
17,19,23,18
19,21,24,18
18,19,26,20
18,18,17,17
17,20,13,19
18,22,8,14
18,19,8,17
17,18,17,18
16,17,11,18
17,21,15,20
18,10,21,15
19,9,21,24
19,17,21,24
18,19,17,26
19,19,20,19
19,19,18,17
19,15,20,17
16,17,13,12
18,17,12,13
16,17,11,14
16,21,7,13
18,26,9,11
15,20,6,14
18,24,10,17
16,16,13,21
17,17,16,22
17,19,12,24
20,19,15,24
19,24,18,23
21,25,21,23
21,19,22,28
20,18,25,21
19,20,20,22
17,14,17,18
18,14,20,22
15,16,19,19
16,16,20,24
18,16,20,25
19,18,27,16
20,17,23,18
20,12,22,17
18,12,19,18
18,11,18,18
17,16,17,22
17,20,11,18
16,18,10,21
14,17,12,16
14,23,13,10
15,24,15,12
15,22,18,10
14,17,17,16
15,19,18,15
16,22,17,25
17,17,23,24
16,14,21,24
16,16,20,19
18,15,27,13
17,16,21,14
19,15,25,15
17,20,18,15
18,16,13,18
18,16,20,20
18,20,15,20
18,15,16,16
17,17,15,12
18,15,15,18
18,15,21,17
19,15,17,15
16,10,23,17
18,21,24,16
18,12,24,21
17,15,26,11
18,14,17,18
18,18,16,26
19,16,14,30
18,20,13,23
19,21,14,20
18,19,20,15
18,18,19,19
17,23,11,16
18,19,18,23
17,17,19,23
19,20,23,26
17,13,19,23
18,12,24,12
19,14,19,10
18,18,18,13
19,15,23,18
18,25,20,14
17,18,22,15
20,25,18,17
20,23,23,16
18,25,16,17
20,20,17,21
20,22,22,23
21,25,22,22
19,27,20,19
19,16,20,16
17,24,19,18
17,16,21,17
18,26,21,19
16,22,16,17
18,21,19,21
18,22,15,16
17,20,21,20
18,19,15,16
17,19,13,16
16,24,13,11
16,22,14,7
16,23,16,8
18,15,25,4
18,17,16,5
17,17,19,11
15,14,23,5
15,13,28,3
16,14,19,4
16,16,16,9
15,9,18,8
15,10,19,7
16,12,22,13
13,12,14,15
16,13,17,19
16,6,20,22
19,10,25,20
16,9,17,15
20,14,22,17
18,13,17,17
16,13,22,8
18,19,16,7
19,19,15,8
18,27,21,9
18,18,21,18
19,17,16,20
18,16,13,16
18,16,17,22
18,17,18,26
16,14,21,24
16,19,29,18
17,21,24,21
16,21,17,18
16,16,14,15
16,13,11,17
16,17,17,18
15,13,14,16
16,21,24,10
18,23,18,17
21,24,21,19
20,26,19,17
19,22,16,20
19,19,16,15
16,19,14,12
15,17,15,15
15,17,21,14
15,14,21,8
15,10,20,12
17,9,28,11
18,13,21,15
20,16,26,15
20,22,22,20
19,21,21,19
19,21,17,22
19,18,19,21
19,20,21,17
21,17,20,20
20,15,19,22
19,13,19,19
19,18,17,25
18,24,18,15
16,21,17,10
16,20,18,9
17,20,21,12
17,14,23,14
19,16,27,12
19,21,23,16
19,16,25,21
17,20,21,18
17,16,21,19
18,13,25,19
18,13,20,18
19,12,25,21
20,13,25,19
17,16,20,17
19,24,19,23
19,25,27,21
22,25,20,26
20,26,23,26
20,21,24,21
17,15,15,23
17,21,13,23
18,20,10,22
16,17,8,18
