1,4,1,1
4,15,7,2
12,38,19,9
26,51,43,22
34,44,42,56
36,46,49,41
37,50,45,43
38,47,47,47
38,47,46,48
38,44,50,44
36,49,43,48
39,49,50,50
36,46,45,45
38,48,48,48
38,46,45,50
37,48,48,46
38,43,46,46
37,51,46,48
38,43,47,47
37,47,51,46
37,43,45,50
38,49,47,46
37,43,51,46
37,51,46,42
36,40,43,48
38,50,54,47
37,44,41,43
37,49,46,46
38,44,47,47
37,49,50,46
37,43,47,45
38,51,42,43
36,41,49,48
38,48,45,46
37,45,47,51
37,48,48,43
37,47,47,50
38,46,49,46
37,45,43,46
36,45,45,44
39,48,49,52
37,47,48,42
38,45,49,49
37,46,47,47
37,46,43,42
38,48,53,48
37,46,42,48
38,48,50,44
38,48,44,50
38,49,46,47
38,46,45,50
37,50,44,44
38,47,48,47
38,48,50,46
38,49,45,45
37,47,45,46
38,50,47,45
38,49,49,52
37,49,44,44
38,46,52,49
37,49,42,47
39,48,49,50
36,46,43,44
37,46,50,43
38,48,43,49
37,45,49,45
38,46,47,50
38,49,51,49
38,44,44,49
38,53,45,49
37,42,45,48
38,53,49,48
37,42,44,46
38,47,50,47
37,45,43,44
39,48,47,51
36,40,48,42
38,48,47,49
37,45,47,46
37,51,46,48
38,42,50,48
38,52,47,48
37,42,45,45
38,53,50,46
36,41,42,47
38,50,52,45
37,43,42,49
38,47,48,47
38,46,44,46
38,48,50,51
38,45,47,43
38,47,47,49
37,46,45,41
38,43,48,50
37,46,48,45
37,42,47,52
39,49,48,44
37,49,46,47
36,45,45,40
39,48,50,50
38,49,44,49
38,46,51,45
36,46,42,45
38,50,50,45
37,45,46,45
38,49,48,47
36,44,45,45
38,47,52,46
37,46,43,50
38,48,48,45
37,46,47,45
38,49,46,49
38,48,45,48
37,47,50,47
38,46,48,49
37,49,49,48
37,50,45,46
38,45,47,44
38,48,47,50
37,48,48,43
38,43,45,50
37,47,48,47
38,46,45,47
38,45,51,50
38,46,43,48
38,49,52,48
37,46,42,46
38,52,52,49
38,41,43,45
37,49,48,48
38,42,45,46
37,51,46,50
36,39,48,39
38,47,48,54
37,44,47,41
37,46,46,47
38,49,47,49
37,50,46,41
37,45,46,49
36,47,42,47
39,47,47,47
35,43,44,47
39,48,49,46
37,50,47,46
37,43,44,49
37,49,49,45
38,43,44,45
38,48,49,47
38,46,47,46
37,48,46,47
39,46,46,45
38,49,49,51
38,46,46,48
38,47,48,47
37,48,45,45
38,52,47,46
38,43,44,49
38,46,51,44
38,49,44,50
37,42,45,45
38,45,49,49
37,47,46,42
37,45,49,47
36,47,46,43
39,45,50,52
37,48,46,42
38,46,44,48
38,50,53,39
38,46,43,50
37,48,47,44
38,45,50,47
38,45,48,47
36,50,43,42
38,44,51,45
38,50,42,45
38,43,53,47
36,46,38,47
38,48,48,45
37,44,43,50
38,46,50,42
38,49,44,50
