1,2,2,1
1,1,2,2
1,0,2,2
2,0,2,2
3,0,6,5
3,0,6,4
4,1,5,7
5,1,4,6
6,2,6,7
6,2,7,7
7,2,10,7
8,3,12,7
8,3,15,10
10,4,21,12
13,8,18,14
15,12,15,18
17,15,11,21
16,15,13,19
14,14,6,14
15,18,5,20
15,19,5,22
14,20,6,17
16,24,8,13
16,26,7,16
18,30,10,14
16,17,16,15
16,15,17,14
16,13,22,18
17,17,20,17
18,14,15,20
17,16,22,20
19,23,20,22
18,19,18,20
19,16,15,19
18,14,16,14
18,16,16,19
17,14,17,12
17,17,14,16
17,13,16,24
16,15,21,15
19,12,21,23
20,16,21,20
19,14,26,14
18,20,16,15
18,16,18,20
19,18,14,20
19,18,19,24
19,19,20,20
19,27,18,18
17,19,18,11
17,22,19,10
17,23,13,16
19,23,15,25
20,17,22,25
17,13,20,21
17,15,15,25
18,19,18,21
18,17,25,19
17,17,19,16
17,21,18,12
18,17,19,12
20,19,23,13
21,26,23,19
22,26,26,18
19,22,17,15
18,19,16,17
18,11,21,15
17,8,20,15
17,11,19,14
16,18,12,12
15,10,12,16
15,13,14,15
15,17,22,14
16,19,22,19
17,19,17,16
18,20,21,13
16,21,15,11
14,22,19,8
14,25,23,5
16,26,17,5
15,21,16,5
19,22,23,7
19,23,21,15
19,21,18,14
18,24,16,10
16,16,16,11
16,13,14,17
16,10,17,17
17,10,27,24
17,12,26,16
16,18,20,15
17,17,22,13
15,13,18,11
17,18,20,12
17,22,24,18
17,22,16,16
18,24,15,12
20,22,15,13
21,18,19,18
19,16,17,19
20,21,23,19
19,15,26,20
18,20,26,20
17,23,26,17
18,22,21,19
17,20,15,19
17,20,14,17
16,18,17,13
16,20,15,11
16,19,13,14
18,21,14,17
18,24,15,14
17,18,10,16
18,20,9,19
17,25,6,12
19,26,10,13
16,22,15,11
16,21,15,13
18,15,17,18
19,13,20,25
19,17,18,21
20,22,17,20
21,25,19,24
18,18,15,20
18,19,12,17
19,20,12,20
19,20,14,22
19,23,19,19
18,25,17,22
19,20,21,24
18,20,23,16
17,19,16,18
18,13,27,23
18,14,22,28
18,16,25,20
19,14,20,21
18,21,18,14
19,18,16,22
17,19,13,20
18,18,10,15
17,20,7,15
16,15,8,14
18,18,8,20
17,17,10,20
18,17,7,16
18,19,8,16
18,22,9,16
17,25,10,15
16,20,9,15
16,17,10,11
18,18,17,15
16,17,11,16
17,14,11,14
17,10,10,16
18,14,10,18
17,11,14,16
16,14,15,14
17,20,15,16
19,18,12,21
20,25,13,25
20,17,21,18
19,17,19,16
15,15,16,6
